1.7425,4.3534,6.5699,9.5893,9.1018,8.6286,7.1418,5.2437,2.5346
2.0477,4.3012,6.8736,8.3663,7.8921,7.3181,6.6242,4.5535,2.3177
1.6276,3.0140,4.6833,5.7903,5.7084,5.1770,5.2000,4.4571,3.4647
2.0395,4.6660,6.7137,8.1242,8.0786,7.3651,6.7148,5.2637,2.4635
0.9922,2.1376,3.6493,4.7909,6.1404,4.4244,2.6804,1.4724,0.5469
1.4737,2.1214,2.7178,3.5477,2.7531,2.3909,2.5062,1.8994,1.3778
3.4030,4.6028,5.2081,6.2504,6.6477,6.3752,5.3008,4.7289,4.0405
4.5466,9.1288,12.7532,13.6198,13.1589,12.9248,11.4688,8.1205,2.8954
2.2340,5.9012,7.0491,8.7394,8.5236,8.2031,7.8952,7.0592,4.2096
0.7794,0.9572,1.2968,1.5962,2.4600,1.6505,0.8917,0.6500,0.2633
1.9099,4.9102,9.7323,10.0476,9.6600,9.2175,8.3404,6.6333,3.2260
2.0352,2.2397,2.0001,2.9292,4.1612,4.4240,3.7135,2.6466,1.4431
0.9018,1.3022,3.3743,4.2601,3.6892,2.9529,1.5852,1.4919,1.0355
1.3230,2.2064,3.7465,5.4077,4.2306,3.8562,3.4079,2.4822,1.7263
2.1385,2.3184,3.3864,4.1189,5.4769,3.4370,2.4552,1.3494,0.7257
0.6941,1.8279,2.3344,3.5294,3.6238,3.2512,2.4349,1.6885,0.9791
2.1781,5.1273,7.5251,7.8529,6.9814,6.8920,5.5277,4.3064,1.5358
5.5366,7.7052,9.5546,9.8570,10.1286,9.6565,7.4664,7.7239,7.7605
2.2422,3.3360,4.1695,4.1892,2.6759,0.9478,0.4782,0.3070,0.3784
2.2097,4.4089,6.3641,7.1717,6.8999,6.0548,4.7901,3.4955,1.2018
2.6485,3.1761,4.3146,6.3815,7.5251,6.2734,4.3880,2.7144,2.3632
2.6824,6.2824,7.8000,6.2133,6.9261,6.3531,5.7171,4.5222,1.4013
0.1499,0.3202,0.4249,0.6851,1.0233,0.7116,0.4897,0.2111,0.1572
2.2110,3.9208,6.3008,7.8105,8.8816,7.3383,5.0890,2.8327,1.1748
1.4599,2.1685,2.3236,3.0026,3.8328,3.1988,2.3430,1.9755,1.2043
5.6226,10.4627,6.1075,7.2076,6.9945,10.7090,9.0208,7.8732,4.6834
1.3788,2.2096,3.5224,4.3818,4.3296,4.0838,2.9792,2.7213,1.4339
0.4846,3.8143,5.9847,10.1238,10.4886,9.0040,10.7255,8.3239,5.1345
3.0913,4.3513,5.2381,7.0282,8.0907,6.9361,5.4639,3.2286,1.6951
3.7774,7.2108,8.9839,11.2231,12.7089,9.1214,8.1188,5.3411,3.2517
2.0488,4.6913,7.3693,8.0630,8.1050,7.7141,6.9551,5.7813,3.8351
3.0818,6.6417,8.9432,7.6368,10.9213,10.6379,9.9008,6.5436,2.8645
1.8491,3.5429,4.9490,7.2749,9.3410,6.5287,4.1318,2.7752,1.1581
1.7043,3.1766,4.7292,6.1339,7.0556,5.0876,3.3293,2.4732,0.9236
1.7325,2.2218,2.6982,3.1110,2.8422,2.5792,2.5786,2.1697,1.8131
2.3128,2.9049,3.6598,4.4317,4.7742,3.6104,3.0965,2.0311,1.4227
4.5054,8.5526,10.0336,10.8639,10.3981,10.4283,9.4333,8.7784,4.5511
3.4791,4.3135,3.8919,4.5307,4.0981,3.8976,5.1057,5.8585,3.3240
5.3235,7.3822,9.1170,9.3098,10.0377,9.9027,8.2348,8.0035,3.7055
0.7427,1.0307,1.4284,1.4515,2.5796,1.8032,1.1796,1.0101,0.6550
5.4485,9.0609,9.1325,8.8800,8.6837,8.4347,8.9252,6.3582,4.3969
1.6889,2.7476,3.7890,4.6363,4.8601,6.4964,5.6189,4.2855,2.3618
2.7292,4.4485,7.4025,8.7615,8.8170,8.2215,8.5360,6.6197,2.2819
1.0833,1.8099,3.1794,4.1109,5.0743,4.4144,3.2282,2.0318,0.7948
2.8483,4.4041,7.1004,9.1352,9.7513,9.4881,5.7740,4.7875,2.3155
1.5593,3.1247,4.2145,5.9153,6.8598,7.7258,6.4594,5.7212,3.7672
1.3370,3.1060,4.8933,6.2023,8.1347,7.5311,5.6656,3.0951,0.7090
2.3641,5.5231,8.8777,10.3099,8.3175,8.9702,7.1121,5.6644,2.5455
5.5544,7.6315,7.9914,8.2174,8.2500,8.9343,11.3111,11.0923,5.3018
5.0407,8.6576,9.0685,11.7535,11.2458,11.0938,11.1723,10.4078,7.1950
5.2830,10.4336,10.6577,10.8880,10.9145,8.0968,8.6032,3.9144,3.8846
1.5850,1.9168,3.0391,3.0747,3.4395,3.0949,3.1001,2.0980,1.2833
1.8231,3.2774,4.8193,5.0991,5.4984,4.9069,4.6598,3.7303,1.7252
1.5958,5.4912,9.6795,12.4602,12.4715,12.0418,11.3215,10.1275,4.9997
